officename,pincode,Deliverystatus,Taluk,Districtname,statename
Nhavare S.O,412211,Delivery,Shirur,Pune,MAHARASHTRA
Pandare S.O,413110,Delivery,Baramati,Pune,MAHARASHTRA
Ranjangaon Ganpati S.O,412209,Delivery,Shirur,Pune,MAHARASHTRA
Shiroli B K S.O,410511,Delivery,Junnar,Pune,MAHARASHTRA
Shirur S.O (Pune),412210,Delivery,Shirur,Pune,MAHARASHTRA
Vadgaon S.O (Pune),412106,Delivery,Maval,Pune,MAHARASHTRA
Baramati MIDC S.O,413133,Delivery,Baramati,Pune,MAHARASHTRA
Dhamani S.O,410508,Delivery,Ambegaon,Pune,MAHARASHTRA
Jejuri S.O,412303,Delivery,Purandar,Pune,MAHARASHTRA
Khandala S.O,410301,Delivery,Maval,Pune,MAHARASHTRA
Midc Kurkumbh S.O,413802,Delivery,Daund,Pune,MAHARASHTRA
Nimgaon Ketki S.O,413120,Delivery,Indapur,Pune,MAHARASHTRA
Pawananagar S.O,410406,Delivery,Mawal,Pune,MAHARASHTRA
Pirangut S.O,412115,Delivery,Mulshi,Pune,MAHARASHTRA
Rajgurunagar S.O,410505,Delivery,Khed,Pune,MAHARASHTRA
Shivnagar S.O,413116,Delivery,Baramati,Pune,MAHARASHTRA
Yavat S.O,412214,Delivery,Daund,Pune,MAHARASHTRA
Avsari KH S.O,412405,Delivery,Ambegaon,Pune,MAHARASHTRA
Bawada S.O,413103,Delivery,Indapur,Pune,MAHARASHTRA
Kedgaon S.O (Pune),412203,Delivery,Daund,Pune,MAHARASHTRA
Malthan S.O,412218,Delivery,Shirur,Pune,MAHARASHTRA
Pabal S.O,412403,Delivery,Shirur,Pune,MAHARASHTRA
Varvand S.O,412215,Delivery,Daund,Pune,MAHARASHTRA
Velhe S.O,412212,Delivery,Velhe,Pune,MAHARASHTRA
Ala S.O (Pune),412411,Delivery,Junnar,Pune,MAHARASHTRA
Arvi S.O (Pune),412401,Delivery,Junnar,Pune,MAHARASHTRA
Avasari BK S.O,412406,Delivery,Ambegaon,Pune,MAHARASHTRA
Belha S.O,412410,Delivery,Junnar,Pune,MAHARASHTRA
Bhavaninagar S.O (Pune),413104,Delivery,Indapur,Pune,MAHARASHTRA
Lonavala S.O,410401,Delivery,Maval,Pune,MAHARASHTRA
Loni Kalbhor S.O,412201,Delivery,Haveli,Pune,MAHARASHTRA
Malegaon BK S.O,413115,Delivery,Baramati,Pune,MAHARASHTRA
Midc Ranjangaon Ganpati S.O,412220,Delivery,Shirur,Pune,MAHARASHTRA
Morgaon S.O,412304,Delivery,Baramati,Pune,MAHARASHTRA
Nira R S S.O,412102,Delivery,Baramati,Pune,MAHARASHTRA
Palasdeo S.O,413132,Delivery,Indapur,Pune,MAHARASHTRA
Saswad S.O,412301,Delivery,Purandar,Pune,MAHARASHTRA
Urulikanchan S.O,412202,Delivery,Haveli,Pune,MAHARASHTRA
Vada S.O (Pune),412402,Delivery,Khed,Pune,MAHARASHTRA
Bahule S.O,415209,Delivery,Patan,Satara,MAHARASHTRA
Lonand S.O,415521,Delivery,Phaltan,Satara,MAHARASHTRA
Marul Haveli S.O,415212,Delivery,Patan,Satara,MAHARASHTRA
Nagthane S.O,415519,Delivery,Satara,Satara,MAHARASHTRA
Pachvad S.O,415513,Delivery,Wai,Satara,MAHARASHTRA
Pusegaon S.O,415502,Delivery,Khatav,Satara,MAHARASHTRA
Rahimatpur S.O,415511,Delivery,Satara,Satara,MAHARASHTRA
Sakharwadi S.O,415522,Delivery,Phaltan,Satara,MAHARASHTRA
Sataracity S.O,415002,Delivery,Satara,Satara,MAHARASHTRA
Taradgaon S.O,415528,Delivery,Phaltan,Satara,MAHARASHTRA
Targaon S.O,415107,Delivery,Koregaon,Satara,MAHARASHTRA
Yashwantnagar S.O,415115,Delivery,Karad,Satara,MAHARASHTRA
Karad H.O,415110,Delivery,Karad,Satara,MAHARASHTRA
Khandala Bavada S.O,412802,Delivery,Khandala,Satara,MAHARASHTRA
Kisanveernagar S.O,415530,Delivery,Wai,Satara,MAHARASHTRA
Mayani S.O,415102,Delivery,Khatav,Satara,MAHARASHTRA
MIDC Satara S.O,415004,Delivery,Satara,Satara,MAHARASHTRA
Vaduj S.O,415506,Delivery,Khatav,Satara,MAHARASHTRA
Angapur Vandan S.O,415019,Delivery,Satara,Satara,MAHARASHTRA
Diskal Mol S.O,415504,Delivery,Khatav,Satara,MAHARASHTRA
Kaledhon S.O,415312,Delivery,Khatav,Satara,MAHARASHTRA
Kinhai S.O,415021,Delivery,Koregaon,Satara,MAHARASHTRA
Kuroli Sidheshwar S.O,415527,Delivery,Khatav,Satara,MAHARASHTRA
Mahiamngad S.O,415023,Delivery,Man (dahiwadi),Satara,MAHARASHTRA
Medha S.O,415012,Delivery,Jawali,Satara,MAHARASHTRA
Mhaswad S.O,415509,Delivery,Man,Satara,MAHARASHTRA
Ogalewadi S.O,415105,Delivery,Karad,Satara,MAHARASHTRA
Panchagani S.O,412805,Delivery,Mahabaleshwar,Satara,MAHARASHTRA
Shivanagar S.O,415108,Delivery,Karad,Satara,MAHARASHTRA
Umbraj S.O,415109,Delivery,Karad,Satara,MAHARASHTRA
Vathar BK S.O,415526,Delivery,Khandala Bawada,Satara,MAHARASHTRA
Vathar S.O,415524,Delivery,Koregaon,Satara,MAHARASHTRA
Vennanagar S.O,415022,Delivery,Satara,Satara,MAHARASHTRA
Wing S.O,415122,Delivery,Karad,Satara,MAHARASHTRA
Budh S.O,415503,Delivery,Khatav,Satara,MAHARASHTRA
Dahivadi S.O,415508,Delivery,Man,Satara,MAHARASHTRA
Koregaon S.O,415501,Delivery,Koregaon,Satara,MAHARASHTRA
Mhasurne S.O,415538,Delivery,Khatav,Satara,MAHARASHTRA
Parali S.O,415013,Delivery,Satara,Satara,MAHARASHTRA
Tarale S.O,415014,Delivery,Patan,Satara,MAHARASHTRA
Vathar Kiroli S.O,415116,Delivery,Koregaon,Satara,MAHARASHTRA
Bhuinj S.O,415515,Delivery,Wai,Satara,MAHARASHTRA
Chaphal S.O,415520,Delivery,Patan,Satara,MAHARASHTRA
Pimpode BK S.O,415525,Delivery,Koregaon,Satara,MAHARASHTRA
Sangamnagar Satara S.O,415003,Delivery,Satara,Satara,MAHARASHTRA
Satararoad S.O,415010,Delivery,Koregaon,Satara,MAHARASHTRA
Vaduth S.O,415011,Delivery,Satara,Satara,MAHARASHTRA
Anewadi S.O,415020,Delivery,Jawali,Satara,MAHARASHTRA
Apashinge S.O,415518,Delivery,Satara,Satara,MAHARASHTRA
Aundh S.O,415510,Delivery,Khatav,Satara,MAHARASHTRA
Bavadhan S.O,412804,Delivery,Wai,Satara,MAHARASHTRA
Daulat Nagar S.O (Satara),415211,Delivery,Patan,Satara,MAHARASHTRA
Kenjal S.O,415536,Delivery,Wai,Satara,MAHARASHTRA
Khatav S.O,415505,Delivery,Khatav,Satara,MAHARASHTRA
Kole S.O (Satara),415103,Delivery,Karad,Satara,MAHARASHTRA
Kudal S.O (Satara),415514,Delivery,Jawoli,Satara,MAHARASHTRA
Masur S.O (Satara),415106,Delivery,Karad,Satara,MAHARASHTRA
Satara H.O,415001,Delivery,Satara,Satara,MAHARASHTRA
Shirwal S.O,412801,Delivery,Phaltan,Satara,MAHARASHTRA
Gondawale BK S.O,415540,Delivery,Man,Satara,MAHARASHTRA
Kavathe S.O,415516,Delivery,Wai,Satara,MAHARASHTRA
Limbgove S.O,415015,Delivery,Satara,Satara,MAHARASHTRA
Mahabaleshwar S.O,412806,Delivery,Mahabaleshwar,Satara,MAHARASHTRA
Malakapur Karad S.O,415539,Delivery,Karad,Satara,MAHARASHTRA
Ond S.O,415111,Delivery,Karad,Satara,MAHARASHTRA
Patan S.O (Satara),415206,Delivery,Patan,Satara,MAHARASHTRA
Phaltan S.O,415523,Delivery,Phaltan,Satara,MAHARASHTRA
Vidyanagar Karad S.O,415124,Delivery,Karad,Satara,MAHARASHTRA
Adarki BK S.O,415537,Delivery,Phaltan,Satara,MAHARASHTRA
Dhebewadi S.O,415112,Delivery,Patan,Satara,MAHARASHTRA
Kale S.O (Satara),415104,Delivery,Karad,Satara,MAHARASHTRA
Katarkhatav S.O,415507,Delivery,Khatav,Satara,MAHARASHTRA
Koyana S.O,415207,Delivery,Patan,Satara,MAHARASHTRA
Malharpeth Karad S.O,415205,Delivery,Patan,Satara,MAHARASHTRA
Pusesawali S.O,415512,Delivery,Khatav,Satara,MAHARASHTRA
Supane S.O,415114,Delivery,Karad,Satara,MAHARASHTRA
Surur S.O,415517,Delivery,Wai,Satara,MAHARASHTRA
Wai S.O,412803,Delivery,Wai,Satara,MAHARASHTRA
Ashvi KH S.O,413738,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Babhleshwar S.O,413737,Delivery,Rahta,Ahmed Nagar,MAHARASHTRA
Bota S.O,422602,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Chas-nali S.O,423604,Delivery,Kopargaon,Ahmed Nagar,MAHARASHTRA
Kolhar S.O (Ahmed Nagar),413710,Delivery,Rahta,Ahmed Nagar,MAHARASHTRA
Kopergaon S.O,423601,Delivery,Kopergaon,Ahmed Nagar,MAHARASHTRA
Kukana S.O,414604,Delivery,Nevasa,Ahmed Nagar,MAHARASHTRA
Loni Kurd S.O,413713,Delivery,Rahata,Ahmed Nagar,MAHARASHTRA
Nanaj Dumala S.O,422611,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Sakur S.O,422622,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Shinganapur S.O,423603,Delivery,Kopargaon,Ahmed Nagar,MAHARASHTRA
Ghargaon S.O,422620,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Rahata S.O,423107,Delivery,Rahata,Ahmed Nagar,MAHARASHTRA
Sakarwadi S.O,413708,Delivery,Kopargaon,Ahmed Nagar,MAHARASHTRA
Shirdi S.O,423109,Delivery,Rahata,Ahmed Nagar,MAHARASHTRA
Shrirampur H.O,413709,Delivery,Shrirampur,Ahmed Nagar,MAHARASHTRA
Songaon S.O,413711,Delivery,Shrirampur.,Ahmed Nagar,MAHARASHTRA
Belapur S.O,413715,Delivery,Shrirampur.,Ahmed Nagar,MAHARASHTRA
Bhanashivara S.O,414609,Delivery,Nevasa,Ahmed Nagar,MAHARASHTRA
Bhende SK S.O,414605,Delivery,Nevasa,Ahmed Nagar,MAHARASHTRA
Changdeonagar S.O,413723,Delivery,Rahta,Ahmed Nagar,MAHARASHTRA
Dhandharphal S.O,422603,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Karegaon Factory S.O,413717,Delivery,Shrirampur,Ahmed Nagar,MAHARASHTRA
Pun Tamba S.O,413707,Delivery,Rahata,Ahmed Nagar,MAHARASHTRA
Takalibhan S.O,413725,Delivery,Shrirampur.,Ahmed Nagar,MAHARASHTRA
Dhamori S.O,423607,Delivery,Kopergaon,Ahmed Nagar,MAHARASHTRA
Kolpewadi S.O,423602,Delivery,Kopergaon,Ahmed Nagar,MAHARASHTRA
Rahuri Factory S.O,413706,Delivery,Rahuri,Ahmed Nagar,MAHARASHTRA
Rahuri MPKV S.O,413722,Delivery,Rahuri,Ahmed Nagar,MAHARASHTRA
Rajur S.O,422604,Delivery,Akole,Ahmed Nagar,MAHARASHTRA
Sangamner S.O,422605,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Akole S.O,422601,Delivery,Akole,Ahmed Nagar,MAHARASHTRA
Ashvi BK S.O,413714,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Loni Bk S.O,413736,Delivery,Rahata,Ahmed Nagar,MAHARASHTRA
Ranjangaon Khurd S.O,413719,Delivery,Rahta,Ahmed Nagar,MAHARASHTRA
Sangamner S.K. S.O,422608,Delivery,Sangamner,Ahmed Nagar,MAHARASHTRA
Tilaknagar S.O (Ahmed Nagar),413720,Delivery,Shrirampur,Ahmed Nagar,MAHARASHTRA
Deolali -pravara S.O,413716,Delivery,Rahuri,Ahmed Nagar,MAHARASHTRA
Kotul S.O,422610,Delivery,Akole,Ahmed Nagar,MAHARASHTRA
Nevasa S.O,414603,Delivery,Nevasa,Ahmed Nagar,MAHARASHTRA
Pohegaon S.O,423605,Delivery,Kopergaon,Ahmed Nagar,MAHARASHTRA
Pravaranagar S.O,413712,Delivery,Rahta,Ahmed Nagar,MAHARASHTRA
Rahuri S.O,413705,Delivery,Rahuri,Ahmed Nagar,MAHARASHTRA
Harigaon S.O,413718,Delivery,Shrirampur.,Ahmed Nagar,MAHARASHTRA
Padhegaon S.O,413721,Delivery,Shrirampur.,Ahmed Nagar,MAHARASHTRA
Vadala Mahadeo S.O,413739,Delivery,Shrirampur.,Ahmed Nagar,MAHARASHTRA
Agalgaon S.O,413409,Delivery,Barshi,Solapur,MAHARASHTRA
Akkalkot S.O,413216,Delivery,Akkalkot,Solapur,MAHARASHTRA
Barshi S.O,413401,Delivery,Barshi,Solapur,MAHARASHTRA
K.V.Nagar Barshi S.O,413411,Delivery,Barshi,Solapur,MAHARASHTRA
Midc Chincholi S.O,413255,Delivery,North Solapur,Solapur,MAHARASHTRA
Hotagi S.O,413215,Delivery,South Solapur,Solapur,MAHARASHTRA
Karajagi S.O (Solapur),413219,Delivery,Akkalkot,Solapur,MAHARASHTRA
Manegaon S.O,413410,Delivery,Madha,Solapur,MAHARASHTRA
Nagansur S.O,413227,Delivery,Akkalkot,Solapur,MAHARASHTRA
Shivshahi S.O,413224,Delivery,Solapur South,Solapur,MAHARASHTRA
Tulsidas Nagar S.O,413412,Delivery,Barshi,Solapur,MAHARASHTRA
Anagar S.O,413214,Delivery,Mohol,Solapur,MAHARASHTRA
Gaudgaon S.O,413406,Delivery,Barshi,Solapur,MAHARASHTRA
Gurunanak Nagar S.O,413003,Delivery,Solapur North,Solapur,MAHARASHTRA
Maindargi S.O,413217,Delivery,Akkalkot,Solapur,MAHARASHTRA
Mandrup S.O,413221,Delivery,South Solapur,Solapur,MAHARASHTRA
Midc Solapur S.O,413006,Delivery,North Solapur,Solapur,MAHARASHTRA
Mohol S.O,413213,Delivery,Mohol,Solapur,MAHARASHTRA
Pangaon S.O (Solapur),413403,Delivery,Barshi,Solapur,MAHARASHTRA
Pennur S.O,413248,Delivery,Mohol,Solapur,MAHARASHTRA
Shetphal S.O,413324,Delivery,Mohol,Solapur,MAHARASHTRA
Solapur H.O,413001,Delivery,Solapur North,Solapur,MAHARASHTRA
Wagadari S.O,413218,Delivery,Akkalkot,Solapur,MAHARASHTRA
Kamati Khurd S.O,413253,Delivery,Mohol,Solapur,MAHARASHTRA
Nanaj S.O (Solapur),413222,Delivery,North Solapur,Solapur,MAHARASHTRA
Valsang S.O,413228,Delivery,South Solapur,Solapur,MAHARASHTRA
Ashti S.O (Solapur),413303,Delivery,Mohol,Solapur,MAHARASHTRA
Dudhani S.O,413220,Delivery,Akkalkot,Solapur,MAHARASHTRA
Pangri S.O,413404,Delivery,Barshi,Solapur,MAHARASHTRA
Chapalgaon S.O,413226,Delivery,Akkalkot,Solapur,MAHARASHTRA
Indiranagar S.O (Solapur),413004,Delivery,North Solapur,Solapur,MAHARASHTRA
Daji Peth S.O,413005,Delivery,Solapur North,Solapur,MAHARASHTRA
Solapur City S.O,413007,Delivery,Solapur North,Solapur,MAHARASHTRA
Solapur Mkt S.O,413002,Delivery,North Solapur,Solapur,MAHARASHTRA
SRPF Camp Solapur S.O,413008,Delivery,Solapur,Solapur,MAHARASHTRA
Vairag S.O,413402,Delivery,Barshi,Solapur,MAHARASHTRA
Bishnupur S.O (Bishnupur),795126,Delivery,Nil,Bishnupur,MANIPUR
Gularthol S.O,795115,Delivery,Nil,Imphal West,MANIPUR
Karong S.O,795007,Delivery,Nil,Senapati,MANIPUR
Lamlong S.O,795010,Delivery,Nil,Imphal East,MANIPUR
Singhat S.O,795139,Delivery,Nil,Churachandpur,MANIPUR
Sugnu S.O,795101,Delivery,Nil,Chandel,MANIPUR
Tamenglong S.O,795141,Delivery,Nil,Tamenglong,MANIPUR
CRPF Camp Langjing S.O,795113,Delivery,Nil,Imphal West,MANIPUR
Lamphelpat S.O,795004,Delivery,Nil,Imphal West,MANIPUR
Mantripukhri S.O,795002,Delivery,Nil,Imphal West,MANIPUR
Moirang S.O,795133,Delivery,Nil,Bishnupur,MANIPUR
Nungba S.O,795147,Delivery,Nil,Tamenglong,MANIPUR
Saikot S.O,795117,Delivery,Nil,Churachandpur,MANIPUR
Sekmai S.O,795136,Delivery,Nil,Imphal East,MANIPUR
Singjamei S.O,795008,Delivery,Nil,Imphal East,MANIPUR
Tadubi S.O,795104,Delivery,Nil,Senapati,MANIPUR
Tamei S.O,795125,Delivery,Nil,Senapati,MANIPUR
Ukhrul S.O,795142,Delivery,Nil,Ukhrul,MANIPUR
Loktak Project S.O,795124,Delivery,Nil,Bishnupur,MANIPUR
Nambol S.O,795134,Delivery,Nil,Bishnupur,MANIPUR
Imphal H.O,795001,Delivery,Nil,Imphal West,MANIPUR
Kangpokpi S.O,795129,Delivery,Nil,Senapati,MANIPUR
Manipur University S.O,795003,Delivery,Nil,Imphal East,MANIPUR
Moreh S.O,795131,Delivery,Nil,Chandel,MANIPUR
New Lamka S.O,795006,Delivery,Churachandpur,Churachandpur,MANIPUR
T Waichong S.O,795112,Delivery,Nil,Senapati,MANIPUR
Thanlon S.O,795143,Delivery,Nil,Churachandpur,MANIPUR
Chakpikarong S.O,795102,Delivery,Nil,Chandel,MANIPUR
Kakching S.O,795103,Delivery,Nil,Thoubal,MANIPUR
None S.O,795159,Delivery,Nil,Tamenglong,MANIPUR
Pngaei Yangdong S.O,795114,Delivery,Nil,Imphal East,MANIPUR
Wangjing S.O,795148,Delivery,Nil,Thoubal,MANIPUR
Wangoi S.O,795009,Delivery,Nil,Imphal West,MANIPUR
Chandel S.O,795127,Delivery,Nil,Chandel,MANIPUR
Churachandpur S.O,795128,Delivery,Nil,Churachandpur,MANIPUR
Lilong S.O,795130,Delivery,Nil,Thoubal,MANIPUR
Mao S.O,795150,Delivery,Nil,Senapati,MANIPUR
Maram S.O,795015,Delivery,Nil,Senapati,MANIPUR
Mayang Imphal S.O,795132,Delivery,Nil,Thoubal,MANIPUR
Porompat S.O,795005,Delivery,Nil,Imphal East,MANIPUR
Yairipok S.O,795149,Delivery,Nil,Thoubal,MANIPUR
Kalapahar S.O,795122,Delivery,Nil,Senapati,MANIPUR
Lamsang S.O,795146,Delivery,Nil,Imphal West,MANIPUR
Litan S.O,795145,Delivery,Nil,Ukhrul,MANIPUR
Motbung S.O,795107,Delivery,Nil,Senapati,MANIPUR
Pallel S.O,795135,Delivery,Nil,Chandel,MANIPUR
Saikul S.O,795118,Delivery,Nil,Churachandpur,MANIPUR
Tulihal S.O,795140,Delivery,Nil,Imphal East,MANIPUR
Jiribam Bazar S.O,795116,Delivery,Nil,Imphal West,MANIPUR
Senapati S.O,795106,Delivery,Nil,Senapati,MANIPUR
Somdal S.O,795144,Delivery,Nil,Ukhrul,MANIPUR
Thoubal S.O,795138,Delivery,Nil,Thoubal,MANIPUR
Bawngkawn S.O,796014,Delivery,Tlangnuam (Part),Aizawl,MIZORAM
Bilkhawthlir S.O,796091,Delivery,Bilkhawthlir,Kolasib,MIZORAM
Demagiri S.O,796751,Delivery,Lunglei,Lunglei,MIZORAM
Kolasib S.O,796081,Delivery,North Thingdawl,Kolasib,MIZORAM
Lawngtlai S.O,796891,Delivery,Lawngtlai,Lawngtlai,MIZORAM
Lunglei S.O,796701,Delivery,Lunglei,Lunglei,MIZORAM
Lungsen S.O,796730,Delivery,Lungsen,Lunglei,MIZORAM
N. Vanlaiphai S.O,796184,Delivery,E. Lungdar,Serchhip,MIZORAM
Thenzawl S.O,796186,Delivery,Serchhip,Serchhip,MIZORAM
Diakkawn S.O,796082,Delivery,Kolasib,Kolasib,MIZORAM
Lungdar S.O,796370,Delivery,Lungdar,Serchhip,MIZORAM
Thingsulthliah S.O,796161,Delivery,Thingsulthliah,Aizawl,MIZORAM
Zemabawk S.O,796017,Delivery,Tlangnuam (Part),Aizawl,MIZORAM
Aizawl H.O,796001,Delivery,Tlangnuam (Part),Aizawl,MIZORAM
Kawnpui S.O,796070,Delivery,North Thingdawl,Kolasib,MIZORAM
Phaileng S.O,796431,Delivery,Phaileng,Mammit,MIZORAM
S.Khawbung S.O,796320,Delivery,S.khawbung,Champhai,MIZORAM
Saiha S.O,796901,Delivery,Tuipang,Saiha,MIZORAM
Sairang S.O,796410,Delivery,Sairang,Mammit,MIZORAM
Kulikawn S.O,796005,Delivery,Kulikawn,Aizawl,MIZORAM
Saitual S.O,796261,Delivery,Phullen,Aizawl,MIZORAM
Serchhip S.O,796181,Delivery,Serchhip,Serchhip,MIZORAM
Mizoram University S.O,796004,Delivery,Tlangnuam (Part),Aizawl,MIZORAM
Reiek S.O,796501,Delivery,Reiek,Mammit,MIZORAM
Vairengte S.O,796101,Delivery,North Thingdawl,Kolasib,MIZORAM
Aibawk S.O,796190,Delivery,Aibawk,Aizawl,MIZORAM
Armed Veng S.O,796008,Delivery,Tlangnuam,Aizawl,MIZORAM
Bunghmun S.O,796710,Delivery,West Bunghmun,Lunglei,MIZORAM
Khawzawl S.O,796310,Delivery,Khawzawl,Champhai,MIZORAM
Lengpui Airport S.O,796421,Delivery,Lengpui,Aizawl,MIZORAM
Ngopa S.O,796290,Delivery,Ngopa,Champhai,MIZORAM
Champhai S.O,796321,Delivery,Khawbung,Champhai,MIZORAM
Chandmary S.O,796007,Delivery,Tlangnuam (Part),Aizawl,MIZORAM
Hnahthial S.O,796571,Delivery,Hnahthial,Lunglei,MIZORAM
Mamit S.O,796441,Delivery,West Phaileng,Mammit,MIZORAM
Zawlnuam S.O,796471,Delivery,Zawlnuam,Aizawl,MIZORAM
Chawngte S.O,796770,Delivery,Chawngte,Lunglei,MIZORAM
Darlawn S.O,796111,Delivery,Darlawn,Aizawl,MIZORAM
Ramhlun S.O,796012,Delivery,Tlangnuam (Part),Aizawl,MIZORAM
Thingsai S.O,796581,Delivery,Thingsai,Lunglei,MIZORAM
Vaivakawn S.O,796009,Delivery,Tlangnuam (Part),Aizawl,MIZORAM
Zotlang S.O,796691,Delivery,Zotlang,Lunglei,MIZORAM
Chantongia S.O,798613,Delivery,Changtongya,Mokokchung,NAGALAND
Doyang Hydel Project S.O,797100,Delivery,Wokha,Wokha,NAGALAND
Kohima H.O,797001,Delivery,Kohima,Kohima,NAGALAND
Kohima Village S.O,797003,Delivery,Kohima,Kohima,NAGALAND
Longleng S.O,798625,Delivery,Longleng,Longleng,NAGALAND
Paper Nagar S.O,798623,Delivery,Tuli,Mokokchung,NAGALAND
Peren S.O,797101,Delivery,Peren,Kohima,NAGALAND
Tseminyu S.O,797109,Delivery,Kohima,Kohima,NAGALAND
Zalukie S.O,797110,Delivery,Peren,Peren,NAGALAND
Chuchuyimlang S.O,798614,Delivery,Mokokchung,Mokokchung,NAGALAND
Circular Road S.O,797117,Delivery,Dimapur Sadar,Dimapur,NAGALAND
Meluri S.O,797114,Delivery,Phek,Phek,NAGALAND
New Nepaligaon S.O,797113,Delivery,Dimapur Sadar,Dimapur,NAGALAND
P.R Hill S.O,797120,Delivery,kohima,Kohima,NAGALAND
Pfutsero S.O,797107,Delivery,Phek,Phek,NAGALAND
Champang S.O,798603,Delivery,Mon,Mon,NAGALAND
Kohima Science College S.O,797002,Delivery,Kohima,Kohima,NAGALAND
Mon S.O,798621,Delivery,Mon,Mon,NAGALAND
Noklak S.O,798626,Delivery,Tuensang,Tuensang,NAGALAND
Opangkong S.O,798617,Delivery,Mokokchung,Mokokchung,NAGALAND
Phek S.O,797108,Delivery,Phek,Phek,NAGALAND
Tuli S.O,798618,Delivery,Mokokchung,Mokokchung,NAGALAND
Dimapur S.O,797112,Delivery,Dimapur,Dimapur,NAGALAND
Medziphema S.O,797106,Delivery,Dimapur,Dimapur,NAGALAND
Mongkholemba S.O,798604,Delivery,Mokokchung,Mokokchung,NAGALAND
Akuluto S.O,798619,Delivery,Zunheboto,Zunhebotto,NAGALAND
Dimapur Bazar S.O,797116,Delivery,Chumukedima,Dimapur,NAGALAND
Kiphire S.O,798611,Delivery,Kiphire,Kiphire,NAGALAND
Longkhim S.O,798616,Delivery,Tuensang,Tuensang,NAGALAND
Zunheboto S.O,798620,Delivery,Zunheboto,Zunhebotto,NAGALAND
Bhandari S.O,797099,Delivery,Bhandari,Wokha,NAGALAND
Lumami S.O,798627,Delivery,Akuluto,Zunhebotto,NAGALAND
Mokokchung S.O,798601,Delivery,Mokokchung,Mokokchung,NAGALAND
Wokha S.O,797111,Delivery,Wokha,Wokha,NAGALAND
Chiechama S.O,797105,Delivery,Kohima,Kohima,NAGALAND
Chizami S.O,797102,Delivery,Phek,Phek,NAGALAND
Chozuba S.O,797104,Delivery,Phek,Phek,NAGALAND
New Sectt Complex S.O,797004,Delivery,Kohima Sadar,Kohima,NAGALAND
Tuensang S.O,798612,Delivery,Tuensang,Tuensang,NAGALAND
Artc S.O,797115,Delivery,Dimapur,Dimapur,NAGALAND
Chumukedima S.O,797103,Delivery,Dimapur,Dimapur,NAGALAND
High School Junction S.O,797121,Delivery,Kohima Sadar,Kohima,NAGALAND
Impur S.O,798615,Delivery,Mokokchung,Mokokchung,NAGALAND
Kohima PWD S.O,797005,Delivery,Kohima Sadar,Kohima,NAGALAND
Naginimora S.O,798622,Delivery,Mon,Mon,NAGALAND
Tizit S.O,798602,Delivery,Mon,Mon,NAGALAND
Agartala Secretariat S.O,799010,Delivery,NA,West Tripura,TRIPURA
Kakraban S.O,799105,Delivery,Kakranan,South Tripura,TRIPURA
NIT Agartala S.O,799046,Delivery,Jirania,West Tripura,TRIPURA
Radhanagar S.O (West Tripura),799153,Delivery,Radhanagar,West Tripura,TRIPURA
Rajnagar S.O (South Tripura),799150,Delivery,Rajnagar,South Tripura,TRIPURA
Sonamura S.O,799131,Delivery,Sonamura,West Tripura,TRIPURA
Anandapur S.O (South Tripura),799157,Delivery,NA,South Tripura,TRIPURA
Beloniya S.O,799155,Delivery,NA,South Tripura,TRIPURA
Bishramganj S.O,799103,Delivery,Bishramganj,West Tripura,TRIPURA
Jolaibari S.O,799141,Delivery,Bagafa,South Tripura,TRIPURA
Khayerpur S.O,799008,Delivery,Jirania,West Tripura,TRIPURA
Manubazar S.O,799143,Delivery,Satchand,South Tripura,TRIPURA
Melaghar S.O,799115,Delivery,Melaghar,West Tripura,TRIPURA
Ramnagar S.O (West Tripura),799002,Delivery,Sadar,West Tripura,TRIPURA
Abhoynagar S.O,799005,Delivery,NA,West Tripura,TRIPURA
Birendranagar S.O,799045,Delivery,NA,West Tripura,TRIPURA
Hrishyamukh S.O,799156,Delivery,Hrishyamukh,South Tripura,TRIPURA
Kunjaban S.O,799006,Delivery,Sadar,West Tripura,TRIPURA
Amarpur S.O (South Tripura),799101,Delivery,Amarpur,South Tripura,TRIPURA
Mohanpur S.O (West Tripura),799211,Delivery,Mohanpur,West Tripura,TRIPURA
Salbagan S.O,799012,Delivery,Sadar,West Tripura,TRIPURA
Agartala College S.O,799004,Delivery,NA,West Tripura,TRIPURA
Dhaleswar S.O,799007,Delivery,Sadar,West Tripura,TRIPURA
Ranirbazar S.O,799035,Delivery,Ranirbazar,West Tripura,TRIPURA
Sekerkote S.O,799130,Delivery,NA,West Tripura,TRIPURA
Arundhutinagar S.O,799003,Delivery,Sadar,West Tripura,TRIPURA
Bishalgarh S.O,799102,Delivery,Bishalgarh,West Tripura,TRIPURA
Gakulpur S.O,799114,Delivery,Matarbari,South Tripura,TRIPURA
Garjee S.O,799125,Delivery,NA,South Tripura,TRIPURA
Kamalghat S.O,799210,Delivery,Kamalghat,West Tripura,TRIPURA
